Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
,Книга Пилу. Чарівна дикунка.,,,,,Nebo BookLab Publishing,,9786177537808,Підліткам
,Почитай мені книжку. Бенедикт Карбоніль.,,,,,Nebo BookLab Publishing,,9786177537822,Вік 3-6
,Книга пилу. Таємна спільнота.,,,,,Nebo BookLab Publishing,,9786177537839,Підліткам
,Летюча книжкова крамниця Франкліна.,,,,,Nebo BookLab Publishing,,9786177537846,Вік 3-6
,Місто брехні . Ліан Таннер.,,,,,Nebo BookLab Publishing,,9786177537853,Підліткам
,Маленька принцеса.,,,,,Nebo BookLab Publishing,,9786177537860,Вік 10-14
Філіп Пулман,Янтарний телескоп. Філіп Пулман Магічний ніж.,,,,,Nebo BookLab Publishing,2020.0,9786177537884,Підліткам
,Пірати Льодового моря.,,,,,Nebo BookLab Publishing,,9786177537891,Вік 10-14
,Тигр у криниці. Подарункове видання. Філіп Пулман.,,,,,Nebo BookLab Publishing,,9786177537907,Підліткам
,Олов'яна принцеса. Подарункове видння.,,,,,Nebo BookLab Publishing,,9786177537921,Підліткам
Кейт Мілфорд,"Привиди ""Дому із зеленого скла"". Кейт Мілфорд.",,,,,Nebo BookLab Publishing,2023.0,9786177537938,Підліткам
,Вітер у вербах. Кеннет Грем.,,,,,Nebo BookLab Publishing,,9786177537945,Вік 10-14
,Історія Доктора Дуліттла. Г'ю Лофтінґ.,,,,,Nebo BookLab Publishing,,9786177537969,Вік 10-14
,Острів мого дідуся.,,,,,Nebo BookLab Publishing,,9786177537976,Вік 3-6
Аннетт Марі,Червона зима.,,,,,Nebo BookLab Publishing,2023.0,9786177537990,Зарубіжна сучасна література
,Миш'як до чаю.,,,,,Nebo BookLab Publishing,,9786177914029,Вік 10-14
,Тварини на всі 100%. Ріта Мабель Ск'яво.,,,,,Nebo BookLab Publishing,,9786177914043,Енциклопедії та наукові книжки
,Книга джунглів. Ґребан Квентін.,,,,,Nebo BookLab Publishing,,9786177914050,Вік 10-14
