Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Люк Пірсон,Гільда і король гори,Українська мова,,,,Артбукс,2024.0,9789661545709.0,Дітям 7-9
Захар Поліщук,Химерники. Випуск 4. Пайка 4,Українська мова,,,,UA Comix,2024.0,9786178056308.0,Комікси
"Георгій Бабанський,Анатолій Бєлов",Очі демона. Франко,Українська мова,,,,UA Comix,2023.0,9786178056087.0,Комікси
Андрій Данкович,Саркофаг,Українська мова,,,,UA Comix,2016.0,9789661517416.0,Комікси
"Богдан Кордоба,Людмила Самусь",3.3.3,Українська мова,,,,UA Comiх,2023.0,9786178056285.0,Комікси
"Алан Мартін,Джеймі Г'юлет",Танкістка,Українська мова,,,,UA Comix,2023.0,9786178056216.0,Комікси
"Лана Ра,Наталя Тарасенко",Ґудзи-мудзи. Королева країни загублених ґудзиків,Українська мова,,,,UA Comix,2023.0,9786178056261.0,Комікси
Захар Поліщук,Химерники. Випуск 3. Пайка 3,Українська мова,,,,UA Comix,2023.0,9786178056162.0,Комікси
"Вілфрід Люпано,Маяна Ітоїз",Вовк в трусах. Том 3,Українська мова,,,,Наша Ідея,2024.0,9786178109301.0,Комікси
Браян Раклі,Трансформери. Том 2: Розколини під твоїми ногами,Українська мова,,,,Lantsuta,2021.0,9786179500664.0,Комікси
Марія Ланцута,Фаетон. Том 2: Повстання,Українська мова,,,,Lantsuta,2019.0,9786177778010.0,Комікси
Марія Ланцута,Фаетон. Том 1: Протерра,Українська мова,,,,Lantsuta,2019.0,9786178202255.0,Комікси
Марія Ланцута,Тогосвітні . Том 1,Українська мова,,,,Lantsuta,2023.0,9786178202132.0,Комікси
"Рік Ремендер,Ремендер Токкіні",Дно. Том 2. Перш ніж нас спопелить світанок,Українська мова,,,,Lantsuta,2023.0,9786179509896.0,Комікси
"Рік Ремендер,Ремендер Токкіні",Дно. Том 1. Примарна надія,Українська мова,,,,Lantsuta,2022.0,9786179509841.0,Комікси
Шеррі Л. Сміт,Аватар Дж. Кемерона: Панівна висота. Том 1,Українська мова,,,,Lantsuta,2023.0,9786178202057.0,Комікси
"Ксав'є Дорісон,Матьє Лоффре",Довгий Джон Сілвер. Том 2,Українська мова,,,,Lantsuta,2022.0,9786179509803.0,Комікси
"Ксав'є Дорісон,Матьє Лоффре",Довгий Джон Сілвер. Том 1,Українська мова,,,,Lantsuta,2021.0,9786179500657.0,Комікси
"Раян Перротт,Сімон Ді Мео,Волтер Баямонте",Могутні Рейнджери - Черепашки-Ніндзя,Українська мова,,,,Lantsuta,2020.0,9786179500640.0,Комікси
"Джей Скотт Кемпбелл,Енді Гартнелл",Пані Небезпека (Danger Girl),Українська мова,,,,Lantsuta,2020.0,9786179500602.0,Комікси
"Ал Юінг,Сімон Ді Мео",Ми знаходимо їх лише коли вони мертві. Книга 1. Шукач,Українська мова,,,,Lantsuta,2022.0,9786179500695.0,Комікси
"Бренден Флетчер,Карл Кершель",Ісола. Том 1,Українська мова,,,,Lantsuta,2020.0,9786179500626.0,Комікси
Таня Еш,"Борис, Бабетте і купа скелетів",Українська мова,,,,Блим-Блим,2024.0,9786178019082.0,Комікси
Вільям Казенов,Сестри. Том 1. Дух родини,Українська мова,,,,Ірбіс Комікси,2021.0,9786177569151.0,Комікси
Джеронімо Стілтон,"Джеронімо Стілтон. Книга 11. Світло, камера, Стілтон!",Українська мова,,,,Ірбіс Комікси,2021.0,9786177569182.0,Комікси
Джеронімо Стілтон,Джеронімо Стілтон. Книга 12. Перший Самурай,Українська мова,,,,Ірбіс Комікси,2022.0,9786177569212.0,Комікси
Джеронімо Стілтон,Джеронімо Стілтон. Книга 10. Найшвидший потяг на Дикому Заході,Українська мова,,,,Ірбіс Комікси,2020.0,9786177569144.0,Комікси
Пейо,Космосмурф,Українська мова,,,,Ірбіс Комікси,2020.0,9786177569137.0,Комікси
"Брижіт Лучані,Ев Тарле",Історії старого дерева. Том 1. Як жити дружно,Українська мова,,,,Ірбіс Комікси,2023.0,9786177569205.0,Комікси
Вільям Казенов,Сестри. Том 5. Яка мила!,Українська мова,,,,Ірбіс Комікси,2023.0,9786177569465.0,Комікси
Вільям Казенов,Сестри. Том 2. Оце по-нашому,Українська мова,,,,Ірбіс Комікси,2021.0,9786177569199.0,Комікси
Вільям Казенов,Сестри. Том 4. Класнюче!,Українська мова,,,,Ірбіс Комікси,2023.0,9786177569427.0,Комікси
