Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Щупак І.Я.,Історія України. Всесвітня історія. Робочий зошит 6 клас (Щупак),Українська мова,,,,Оріон,2023.0,9789669912428.0,Всесвітня історія (Школярам та абітурієнтам)
Гільберг Т.Г.,"Я досліджую світ, 4 кл., Робочий зошит, Ч.2",Українська мова,,,,Генеза,2023.0,9786178363215.0,Робочі зошити. Я досліджую світ
Гільберг Т.Г.,"Я досліджую світ, 1 кл. Робочий зошит в 2 част., Ч.1 (2023)",Українська мова,,,,,2023.0,9789661113595.0,Підручники з природознавства та я досліджую світ
Оксана Левчук,"Пізнаємо природу, 6 кл., Роб. зошит та діагностичні роботи (до підр.Біди) (2023) НУШ",Українська мова,,,,,2023.0,9789661113441.0,Підручники з природознавства та я досліджую світ
Гільберг Т.Г.,"Пізнаємо природу, 6 кл., Робочий зошит та діагностичні роботи (2023) НУШ",Українська мова,,,,Генеза,2023.0,9789661113564.0,Географія (Школярам та абітурієнтам)
Гільберг Т.Г.,"Пізнаємо природу, 5 кл., Робочий зошит + діагностичні роб. (2022)  НУШ",,,,,Генеза,2022.0,97896611131131.0,Географія (Школярам та абітурієнтам)
Гільберг Т.Г.,"Географія, 6 кл., Робочий зошит та діагностичні роботи (2023) НУШ",Українська мова,,,,Генеза,2023.0,9789661113557.0,Географія (Школярам та абітурієнтам)
Ємельяненко О. В.,Щодня півгодини для розвитку дитини. Посібник  з 2 у 3 кл. (2023),Українська мова,,,,Генеза,2023.0,9789661113267.0,Зошити для самостійних робіт
Ємельяненко О. В.,Щодня півгодини для розвитку дитини. Посібник  з 1 у 2 кл. (2023),Українська мова,,,,Генеза,2023.0,9789661113250.0,Зошити для самостійних робіт
"О.В. Заболотний.,Заболотний В.В.","Українська мова, 5 кл., Підручник (2022) НУШ",Українська мова,,,,Генеза,2022.0,9789661113137.0,Українська мова (Школярам та абітурієнтам)
Гільберг Т.Г.,Пізнаємо природу 5 кл. Атлас з контурними картами (2022) НУШ,Українська мова,,,,Оріон,2022.0,9789669912107.0,Атласи. Контурні карти (Школярам та абітурієнтам)
"О.В. Заболотний.,Заболотний В.В.","Укр. літ, 6 кл., Зошит для підсум. оцінювання та проєкт. діяльності (2023) НУШ",Українська мова,,,,Генеза,2023.0,9789661113540.0,Підручники з української літератури
Щупак І.,Атлас. 6 клас. Історія України та Всесвітня історія. Інтегрований курс,Українська мова,,,,Оріон,2023.0,9789669911643.0,Атласи. Контурні карти (Школярам та абітурієнтам)
Гільберг Т.Г.,НУШ Географія. 6 клас. Атлас,Українська мова,,,,Оріон,2023.0,9789669912350.0,Географія (Школярам та абітурієнтам)
"Тарасенкова Н. А.,Богатирьова І.М.,Коломієць О.М.,Сердюк З.О.,Рудніцька Ю.В.",Математика. 6 клас. Підручник у 2-х частинах. Частина 2,Українська мова,,,,Оріон,2023.0,9789669912176.0,Математика (Школярам та абітурієнтам)
"Тарасенкова Н. А.,Богатирьова І.М.,Коломієць О.М.,Сердюк З.О.,Рудніцька Ю.В.",Математика. 6 клас. Підручник у 2-х частинах. Частина 1,Українська мова,,,,Оріон,2023.0,9789669912169.0,Математика (Школярам та абітурієнтам)
"Заболотний О.В.,В. В.Заболотний",Українська мова. Підручник для 6 класу,Українська мова,,,,Генеза,2023.0,9789661113427.0,Українська мова (Школярам та абітурієнтам)
"Костильов,Жгут О.А.",ЗНО 2024.Біологія. Комплексна підготовка,Українська мова,,,,Генеза,2024.0,97896611107303.0,Біологія (Школярам та абітурієнтам)
Гільберг Т.Г.,"Я досліджую світ + Інформатика, 2 кл., Робочий зошит, Ч.2 (2023)",Українська мова,,,,Генеза,2023.0,9789661113243.0,Підручники з природознавства та я досліджую світ
Гільберг Т.Г.,"Я досліджую світ + Інформатика, 2 кл., Робочий зошит, Ч.1 (2023)",Українська мова,,,,Генеза,2023.0,9789661113236.0,Підручники з природознавства та я досліджую світ
Уляна Добріка,Рідна мова для небайдужих. 2 клас. Частина 4,Українська мова,,,,Видавництво Старого Лева,2022.0,9789664480533.0,Українська мова (Школярам та абітурієнтам)
Павло Віктор,Фізика. Том 2. Молекулярна будова речовини і теплові явища,Українська мова,,,,BookChef,2023.0,9786175481387.0,"Фізика, астрономія (Школярам та абітурієнтам)"
"Олена Іщенко,Світлана Логачевська",НУШ Українська мова. Буквар. Посібник для 1 класу ЗЗСО (у 6 частинах). Частина 3,Українська мова,,,,Літера,2023.0,9789669453914.0,Українська мова (Школярам та абітурієнтам)
"Олена Іщенко,Світлана Логачевська",НУШ Українська мова. Буквар. Посібник для 1 класу ЗЗСО (у 6 частинах). Частина 2,Українська мова,,,,Літера,2023.0,9789669453907.0,Українська мова (Школярам та абітурієнтам)
"Олена Іщенко,Світлана Логачевська",НУШ Українська мова. Буквар. Посібник для 1 класу ЗЗСО (у 6 частинах). Частина 1,Українська мова,,,,Літера,2023.0,9789669453891.0,Українська мова (Школярам та абітурієнтам)
"Оксана Ларіна,Світлана Логачевська","НУШ Математика 1 клас. Навчальний посібник. Частина 3. Ларіна О., Логачевська С.",Українська мова,,,,Літера,2023.0,9789669453990.0,Математика (Школярам та абітурієнтам)
"Оксана Ларіна,Світлана Логачевська","НУШ Математика 1 клас. Навчальний посібник. Частина 2. Ларіна О., Логачевська С.",Українська мова,,,,Літера,2023.0,9789669453983.0,Математика (Школярам та абітурієнтам)
"Оксана Ларіна,Світлана Логачевська","НУШ Математика 1 клас. Навчальний посібник. Частина 1. Ларіна О., Логачевська С.",Українська мова,,,,Літера,2023.0,9789669453976.0,Математика (Школярам та абітурієнтам)
