Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
"Нацу Хюуґа,Nekokurage",Монолог травниці. Том 3,Українська мова,,,,Lantsuta,2024,9786178202194,Манга
Нацу Хюуґа,Монолог травниці. Том 4,Українська мова,,,,Lantsuta,2024,9786178202224,Манга
Йовдзи,Путівка в потойбіччя.Том2,Українська мова,,,,Сафран,2023,9786178209186,Манга
Ерін Гантер,Коти-вояки. Манґа 5. Тигрозір і Саша. У ліси!,Українська мова,,,,АССА,2023,9786178229337,Манга
Ерін Гантер,Коти-вояки. Манґа 6. Тигрозір і Саша. Втеча з лісу,Українська мова,,,,АССА,2023,9786178229344,Манга
Ерін Гантер,Коти - вояки. Манґа 7. Тигрозір і Саша. Повернення до Кланів,Українська мова,,,,АССА,2024,9786178229351,Манга
Наунау,Берегиня. Том 2,Українська мова,,,,Сафран,2023,9786178376000,Манга
Сяодао,"Книгарня, в якій причаївся лев. Том 1",Українська мова,,,,Сафран,2023,9786178376017,Манга
суу Морішіта,"Кохання на кінчиках пальців, Том 6",Українська мова,,,,Наша Ідея,2024,9786178396008,Манга
Іппату,Проєкт «Цуґумі». Том 2,Українська мова,,,,Наша Ідея,2024,9786178396053,Манга
Масаакі Ніномія,Ґаннібал. Том 8,Українська мова,,,,Наша Ідея,2024,9786178396114,Манга
Тоні Валенте,Радіант. Том 8,Українська мова,,,,Наша Ідея,2024,9786178396121,Манга
суу Морішіта,Кохання на кінчиках пальців Том 7,Українська мова,,,,Наша Ідея,2024,9786178396138,Манга
Йошитокі Ойма,Форма голосу. Том 1,Українська мова,,,,Наша Ідея,2024,9786178396152,Манга
Хірому Аракава,Цуґаї потойбіччя. Том 1,Українська мова,,,,Наша Ідея,2024,9786178396169,Манга
Джюн Мочідзухі,Мемуари Ванітаса. Том 2,Українська мова,,,,Наша Ідея,2024,9786178396206,Манга
"Коохей Наґаші,Масакі Кірітомо",300 днів із тобою Том 2,Українська мова,,,,Наша Ідея,2024,9786178396237,Манга
Dr.pepperco,"Прощавай, трояндовий саде. Том 2",Українська мова,,,,Наша Ідея,2024,9786178396244,Манга
Камоме Шірахама,Ательє чаклунських капелюхів. Том 9,Українська мова,,,,Наша Ідея,2024,9786178396275,Манга
"Dubu,Chugong",Тільки я візьму новий рівень. Том 1,Українська мова,,,,Mimir Media,2020,9786179500701,Манга
Nicke,Понад Хмарами. Том 02. Шлях за вказівками Мудреця,Українська мова,,,,Lantsuta,2022,9786179509827,Манга
Йовдзи,Путівка в потойбіччя. Том1,Українська мова,,,,Сафран,2022,9786179512360,Манга
Йон Санхо,Hellbound. Поклик пекла. Том 1,Українська мова,,,,Varvar Publishing,2024,9786179524745,Манга
DOYAK,Мокрий Пісок. Том 1,Українська мова,,,,Лол Кекс,2024,9786179531903,Манга
Ілля Арнаутов,Shock Wave,Українська мова,,,,Mangachi studio,2023,9789663484891,Манга
