Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Марія Павленко,Русалонька із 7-В Кн. 4 В тенах лабіринту,,,,,Теза,,9789664211366.0,Повісті. Оповідання.Проза
,Порівнялочки-додавалочки: Принцеси,,,,,УЛА,,9789662841381.0,Дозвілля і творчість дітей
,Порівнялочки-додавалочки: Тваринки,,,,,УЛА,,9789662841367.0,Тварини. Рослини
,Флот. Самые интересные факты. Энциклопедия для малышей,,,,,Vivat,2016.0,9786176905349.0,Енциклопедії для дітей
Прокофьева,Лоскутик и облачко (мінімальний брак),російська,,,,Видавничий дім Школа,2015.0,9789664292839.0,Казки для дітей
,Цікавий зоосад. Віршики,,,,,Богдан,,9789661027632.0,Вірші для дітей
Вилсон,У головній ролі Трейсі Бікер,Українська,,,,Богдан,2018.0,9789661020398.0,Повісті. Оповідання.Проза
Василь Федієнко,"Азбука от А до Я, числа от 0 до 10 (р) Подарок маленькому гению (4-7 л.) (мінімальний брак)",російська,,,,Видавничий дім Школа,2013.0,9789664291283.0,Вчимо літери. Абетка
,"Дівчинка, яка рятувала книжки",Українська,,,,Видавництво Старого Лева,2018.0,9786176795162.0,Повісті. Оповідання.Проза
,Нагадайка. Овочі та фрукти,,,,,УЛА Геймз,2018.0,9786177576494.0,Ранній розвиток
"Вашуленко М. С.,Вашуленко О. В.",Буквар 1 кл (у) (у 2-х ч.) Ч.1 (НУШ),,,,,Освіта,,9786176568841.0,Вчимо літери. Абетка
,Большая книга. Развивающие наклейки. Умные задания. Веселый транспорт,,,,,Кристал Бук,,9789669363336.0,Книжки з наліпками
Без автора,АРТ розмальовка. Українська мова,Українська мова,,,,АРТ,2021.0,9786170941664.0,Ранній розвиток
Голубєва,Неймовірні пригоди Мандарини Сергіївни,Українська,,,,Ранок,2018.0,9786170942968.0,Повісті. Оповідання.Проза
Дисней книги,Грай! Вивчай! Крижане серце (КОРОБКА з книгою та ігрою),,,,,Ранок,,9789667488505.0,Книги для найменших
Ірина Тараненко,Мандрівні казки,Українська,,,,Ранок,2018.0,9786170941121.0,Казки для дітей
Касьян Елена,Фея по имени Полина,,,,,Ранок,,9786170934819.0,Повісті. Оповідання.Проза
Núria Roca,Чувства: от печали до радости,Українська мова,,,,Ранок,,9786170934598.0,"Казки, вірші та історії"
Núria Roca,Почуття: від суму до радості,,,,,Ранок,,9786170934550.0,"Казки, вірші та історії"
