Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Керстін Ґір,Зільбер. Перша книга сновидінь (мінімальний брак),Українська мова,,,,Видавничий дім Школа,2018.0,9789664295236.0,Фантастика. Фентезі для підлітків
,"Невдаха, або Ласкаво прошу до мого світу",російська,,,,Джерела М,2019.0,,Українська проза для підлітків
,Герої Олімпу. Син Нептуна,Українська мова,,,,Ранок,2018.0,9786170932600.0,Фантастика. Фентезі для підлітків
,Корнуольський коледж 3. Що знає Кара Вінтер?,Українська мова,,,,Ранок,2019.0,9786170959140.0,Пригоди для підлітків
,Сторожова застава,російська,,,,А-БА-БА-ГА-ЛА-МА-ГА,2019.0,,Українська проза для підлітків
,"Лев, Біла Відьма і шафа. Кн. 2 (Хроніки Нарнії)",російська,,,,Країна Мрій,2019.0,9786177409839.0,Зарубіжна проза для підлітків
,Однакові чи різні? Геноміка,Українська,,,,Видавництво Старого Лева,2019.0,9786176796633.0,Non-fiction для підлітків
Джоан Роулінг,Фантастичні звірі і де їх шукати. Велике ілюстроване видання,Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2019.0,9786175851432.0,Книги жанру Фантастика. Фентезі. Містика
Сергій Гридін,Дорослі зненацька,Українська,,,,Видавництво Старого Лева,2019.0,9786176795681.0,Любовні романи для підлітків
,Небіж чаклуна. Кн. 1 (Хроніки Нарнії),російська,,,,Країна Мрій,2019.0,,Зарубіжна проза для підлітків
,Герої Олімпу. Знак Афіни. Книга 3,Українська,,,,Ранок,2018.0,9786170932617.0,Фантастика. Фентезі для підлітків
Джоан Роулінг,Гаррі Поттер і прокляте дитя,Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2021.0,9786175851128.0,Фантастика. Фентезі для підлітків
,Дім Аїда,Українська,,,,Ранок,2019.0,9786170932624.0,Пригоди для підлітків
,Школа чарівних тварин. Світло згасло!,Українська мова,,,,Ранок,2017.0,9786170931788.0,Пригоди для підлітків
,Кінь та його хлопчик. Кн. 3 (Хроніки Нарнії),Українська мова,,,,Країна Мрій,2019.0,9786177409976.0,Пригоди для підлітків
Сульберг А.,Таємниця суперкрутих,Українська,,,,Видавництво Старого Лева,2018.0,9786176795483.0,Зарубіжна проза для підлітків
Штефан А.,Літо довжиною в ДНК,Українська мова,,,,Ранок,2018.0,9786170942944.0,Зарубіжна проза для підлітків
Семпл М.,Де ти поділась Бернадетт,Українська мова,,,,Vivat,2019.0,9789669820266.0,Сучасна зарубіжна проза
Міхельс .,Правда із присмаком кави (мінімальний брак),Українська мова,,,,Видавничий дім Школа,2019.0,9789664295496.0,Пригоди для підлітків
Анастасія Нікуліна,Зграя,Українська мова,,,,Vivat,2019.0,9789669427427.0,Любовні романи для підлітків
Зотова Наталія,Дівчинка на всі 100% (мінімальний брак),Українська мова,,,,Видавничий дім Школа,,9789664290606.0,Non-fiction для підлітків
Даниелян,Лола у весільній подорожі. Книга 6,Українська мова,,,,Ранок,2013.0,9786170902887.0,Зарубіжна проза для підлітків
Наріне Абгарян,"Манюня, ювілей Ба та інші хвилювання (кн. 3) (мінімальний брак)",Українська,,,,РМ,2017.0,9789669172006.0,Зарубіжна проза для підлітків
